region,mortality,urbanization,age_65_plus,unemployment_rate,avg_salary,doctors_per_10k,gdp_per_capita,pollution,year
małopolskie,9.6,47.9,21.4,2.3,7749.31,35.0,72004,0.233263354,2023
śląskie,11.9,75.8,24.9,2.5,7622.23,36.6,85131,0.717575982,2023
wielkopolskie,10.1,53.0,21.8,2.8,6783.47,29.2,85867,0.286697248,2023
zachodniopomorskie,11.4,68.0,24.8,2.2,7020.42,32.1,66443,0.674102218,2023
lubuskie,11.0,64.1,23.8,2.1,6890.03,23.8,66313,0.41025641,2023
dolnośląskie,11.2,67.4,24.3,3.1,7859.79,37.1,90980,0.347306637,2023
opolskie,11.3,52.7,24.5,2.8,6983.20,24.8,64383,0.854062133,2023
kujawsko-pomorskie,11.2,57.9,23.6,3.8,6732.16,30.0,66547,0.801603206,2023
warmińsko-mazurskie,10.7,58.9,23.2,2.5,6465.17,25.7,56368,0.294572502,2023
pomorskie,9.7,62.3,21.6,1.9,7565.48,34.7,81149,0.211900322,2023
łódzkie ,12.8,61.8,25.9,3.9,7061.58,41.1,76228,0.465608466,2023
świętokrzyskie,12.3,45.1,26.1,3.8,6593.33,30.9,56507,0.770218228,2023
lubelskie  ,11.4,46.1,24.4,3.9,6785.52,37.6,55182,0.447538538,2023
podkarpackie,9.5,41.0,22.3,4.3,6445.99,27.5,55125,0.33788676,2023
podlaskie,10.6,60.8,23.5,2.3,6813.19,39.1,59818,0.351432086,2023
mazowieckie,10.5,64.6,22.1,2.4,8944.17,43.1,127791,0.272207604,2023
małopolskie,10.5,47.8,21.0,2.4,6824.68,34.4,62842,0.320793234,2022
śląskie,13.0,75.9,24.4,2.2,6727.58,35.6,71388,0.805208549,2022
wielkopolskie,10.9,53.3,21.4,2.0,6019.52,28.8,73888,0.400732768,2022
zachodniopomorskie,12.4,68.1,24.2,2.3,6168.95,32.2,57907,0.792393027,2022
lubuskie,11.9,64.3,23.2,2.1,6014.34,23.3,56196,0.510204082,2022
dolnośląskie,12.5,67.5,23.9,3.5,6945.14,36.4,76186,0.450138504,2022
opolskie,12.4,52.9,23.9,2.7,6134.18,24.4,56267,1.061120543,2022
kujawsko-pomorskie,12.0,58.1,23.1,3.8,5888.55,29.3,56406,0.896905675,2022
warmińsko-mazurskie,11.8,59.0,22.5,3.4,5675.71,25.1,48874,0.43911007,2022
pomorskie,10.8,62.6,21.2,1.9,6696.78,34.4,66793,0.254420557,2022
łódzkie ,14.0,61.8,25.4,3.5,6210.59,40.5,65981,0.630649569,2022
świętokrzyskie,13.4,44.8,25.5,3.8,5782.52,30.1,50301,1.018502801,2022
